time_out,user_action,correct_action,stimulus_color,facing_direction,stroop,inputs_swapped,reaction_time_clock,iti,reading_time_clock,group_name,stimulus_num,rule_name,attempt,block_num,sequence_num
False,SKIP,SKIP,BLUE,L,False,False,0.3479118659743108,0.5,5.031398307997733,hard,5,ordinal branching,0,15,5
False,PHOTO,PHOTO,GREEN,L,False,False,0.5469509509857744,0.5,5.031398307997733,hard,6,ordinal branching,0,15,5
False,PHOTO,PHOTO,GREEN,L,False,False,0.43221936601912603,0.5,5.031398307997733,hard,7,ordinal branching,0,15,5
False,SKIP,SKIP,YELLOW,L,False,False,0.5783593889791518,0.5,5.031398307997733,hard,8,ordinal branching,0,15,5
False,SKIP,SKIP,BLUE,L,False,False,0.4317809619824402,0.5,5.031398307997733,hard,9,ordinal branching,0,15,5
False,SKIP,SKIP,GREEN,L,False,False,0.7852421610150486,0.5,2.9834658250329085,easy_two,0,sequence of two,0,16,6
False,SKIP,SKIP,RED,L,False,False,0.3799789309850894,0.5,2.9834658250329085,easy_two,1,sequence of two,0,16,6
False,SKIP,SKIP,BLUE,L,False,False,0.34685864800121635,0.5,2.9834658250329085,easy_two,2,sequence of two,0,16,6
False,SKIP,SKIP,BLUE,L,False,False,0.34717270103283226,0.5,2.9834658250329085,easy_two,3,sequence of two,0,16,6
False,SKIP,SKIP,GREEN,L,False,False,0.4643541660043411,0.5,2.9834658250329085,easy_two,4,sequence of two,0,16,6
False,PHOTO,PHOTO,YELLOW,L,False,False,0.36370934802107513,0.5,2.9834658250329085,easy_two,5,sequence of two,0,16,6
False,PHOTO,PHOTO,RED,L,False,False,0.46857554494636133,0.5,1.0513635909883305,easy_two,0,negation,0,17,6
False,PHOTO,PHOTO,GREEN,L,False,False,0.6134079019539058,0.5,1.0513635909883305,easy_two,1,negation,0,17,6
False,PHOTO,PHOTO,YELLOW,L,False,False,0.29761947103543207,0.5,1.0513635909883305,easy_two,2,negation,0,17,6
False,SKIP,SKIP,BLUE,L,False,False,0.41374730900861323,0.5,1.0513635909883305,easy_two,3,negation,0,17,6
False,PHOTO,PHOTO,YELLOW,L,False,False,0.3640922299819067,0.5,1.0513635909883305,easy_two,4,negation,0,17,6
False,PHOTO,PHOTO,RED,L,False,False,0.3311748450505547,0.5,1.0513635909883305,easy_two,5,negation,0,17,6
False,PHOTO,PHOTO,GREEN,L,False,False,0.38030753599014133,0.5,1.0513635909883305,easy_two,6,negation,0,17,6
False,SKIP,SKIP,RED,L,False,False,1.0351515880320221,0.25,2.2677557810093276,volatility,0,sequence of two,0,18,7
False,SKIP,SKIP,YELLOW,L,False,False,0.830683175008744,0.25,2.2677557810093276,volatility,1,sequence of two,0,18,7
False,PHOTO,PHOTO,RED,L,False,False,0.4300817670300603,0.25,2.2677557810093276,volatility,2,sequence of two,0,18,7
False,SKIP,SKIP,GREEN,L,False,False,0.43193139700451866,0.25,2.2677557810093276,volatility,3,sequence of two,0,18,7
False,SKIP,SKIP,RED,L,False,False,0.6314539639861323,0.25,2.2677557810093276,volatility,4,sequence of two,0,18,7
False,SKIP,SKIP,YELLOW,L,False,False,0.4632240069913678,0.25,2.2677557810093276,volatility,5,sequence of two,0,18,7
False,SKIP,SKIP,BLUE,L,False,False,0.3644843050278723,0.25,2.2677557810093276,volatility,6,sequence of two,0,18,7
False,SKIP,SKIP,RED,L,False,False,0.38000999798532575,0.25,2.2677557810093276,volatility,7,sequence of two,0,18,7
False,SKIP,SKIP,GREEN,L,False,False,0.48090804798994213,0.25,2.2677557810093276,volatility,8,sequence of two,0,18,7
False,SKIP,SKIP,YELLOW,L,False,False,0.44793530902825296,0.25,2.2677557810093276,volatility,9,sequence of two,0,18,7
False,SKIP,SKIP,GREEN,L,False,False,0.44755813805386424,0.25,2.2677557810093276,volatility,10,sequence of two,0,18,7
False,SKIP,SKIP,YELLOW,L,False,True,0.5826785059762187,0.25,6.281393848999869,volatility,0,sequence of two,0,19,7
False,PHOTO,PHOTO,GREEN,L,False,True,0.3636065819882788,0.25,6.281393848999869,volatility,1,sequence of two,0,19,7
False,SKIP,SKIP,GREEN,L,False,True,0.28056178003316745,0.25,6.281393848999869,volatility,2,sequence of two,0,19,7
False,SKIP,SKIP,YELLOW,L,False,True,0.2132236260222271,0.25,6.281393848999869,volatility,3,sequence of two,0,19,7
False,SKIP,SKIP,RED,L,False,True,0.5491009120014496,0.25,6.281393848999869,volatility,4,sequence of two,0,19,7
False,SKIP,SKIP,GREEN,L,False,True,0.31430239201290533,0.25,6.281393848999869,volatility,5,sequence of two,0,19,7
False,SKIP,SKIP,RED,L,False,True,0.29677900299429893,0.25,6.281393848999869,volatility,6,sequence of two,0,19,7
False,SKIP,SKIP,BLUE,L,False,True,0.2634311330039054,0.25,6.281393848999869,volatility,7,sequence of two,0,19,7
False,SKIP,SKIP,RED,L,False,True,0.31322098802775145,0.25,6.281393848999869,volatility,8,sequence of two,0,19,7
False,SKIP,SKIP,YELLOW,L,False,True,0.28084531298372895,0.25,6.281393848999869,volatility,9,sequence of two,0,19,7
False,SKIP,SKIP,YELLOW,L,False,True,0.3973504929454066,0.25,6.281393848999869,volatility,10,sequence of two,0,19,7
False,SKIP,SKIP,RED,L,True,True,1.1345645480323583,0.25,26.66603383398615,volatility,0,simple sequence,0,20,7
False,SKIP,SKIP,YELLOW,L,True,True,0.6147276739939116,0.25,26.66603383398615,volatility,1,simple sequence,0,20,7
False,SKIP,SKIP,GREEN,L,True,True,0.46372901904396713,0.25,26.66603383398615,volatility,2,simple sequence,0,20,7
False,PHOTO,PHOTO,BLUE,L,True,True,0.3616921749780886,0.25,26.66603383398615,volatility,3,simple sequence,0,20,7
False,SKIP,SKIP,GREEN,L,True,True,0.46384728502016515,0.25,26.66603383398615,volatility,4,simple sequence,0,20,7
False,SKIP,SKIP,BLUE,L,True,True,0.44915175304049626,0.25,26.66603383398615,volatility,5,simple sequence,0,20,7
False,SKIP,SKIP,BLUE,L,True,True,0.5117468320531771,0.25,26.66603383398615,volatility,6,simple sequence,0,20,7
False,SKIP,SKIP,GREEN,L,True,True,0.4450581499841064,0.25,26.66603383398615,volatility,7,simple sequence,0,20,7
False,SKIP,SKIP,GREEN,L,True,True,0.411321007006336,0.25,26.66603383398615,volatility,8,simple sequence,0,20,7
False,SKIP,SKIP,RED,L,True,False,0.732869687024504,0.25,44.84677444800036,volatility,0,branching,0,21,7
False,SKIP,SKIP,RED,L,True,False,0.2798801509779878,0.25,44.84677444800036,volatility,1,branching,0,21,7
False,SKIP,PHOTO,GREEN,L,True,False,0.26153957995120436,0.25,44.84677444800036,volatility,2,branching,0,21,7
False,PHOTO,PHOTO,RED,L,True,False,0.8497172040515579,0.25,12.993804578960408,volatility,0,branching,1,21,7
False,SKIP,SKIP,BLUE,L,True,False,0.9284520429791883,0.25,12.993804578960408,volatility,1,branching,1,21,7
False,PHOTO,PHOTO,YELLOW,L,True,False,1.044895063037984,0.25,12.993804578960408,volatility,2,branching,1,21,7
False,SKIP,SKIP,GREEN,L,True,False,0.4818950999761,0.25,12.993804578960408,volatility,3,branching,1,21,7
False,SKIP,SKIP,RED,L,True,False,0.5971161240013316,0.25,12.993804578960408,volatility,4,branching,1,21,7
False,SKIP,SKIP,GREEN,L,True,False,0.3627202130155638,0.25,12.993804578960408,volatility,5,branching,1,21,7
False,PHOTO,PHOTO,YELLOW,L,True,False,0.3965148989809677,0.25,12.993804578960408,volatility,6,branching,1,21,7
False,SKIP,SKIP,RED,L,False,True,0.6688062109751627,0.25,2.101160335005261,volatility,0,single,0,22,7
False,SKIP,SKIP,YELLOW,L,False,True,0.44852658099262044,0.25,2.101160335005261,volatility,1,single,0,22,7
False,SKIP,SKIP,RED,L,False,True,0.39754976698895916,0.25,2.101160335005261,volatility,2,single,0,22,7
False,SKIP,SKIP,BLUE,L,False,True,0.3992513609700836,0.25,2.101160335005261,volatility,3,single,0,22,7
False,SKIP,SKIP,RED,L,False,True,0.3664186450187117,0.25,2.101160335005261,volatility,4,single,0,22,7
False,SKIP,SKIP,BLUE,L,False,True,0.38105688302312046,0.25,2.101160335005261,volatility,5,single,0,22,7
False,SKIP,SKIP,RED,L,False,True,0.3488591050263494,0.25,2.101160335005261,volatility,6,single,0,22,7
False,PHOTO,PHOTO,GREEN,L,False,True,0.49921458994504064,0.25,2.101160335005261,volatility,7,single,0,22,7
False,SKIP,SKIP,RED,L,False,True,0.41415845800656825,0.25,2.101160335005261,volatility,8,single,0,22,7
False,SKIP,SKIP,RED,L,False,True,0.3310467649716884,0.25,2.101160335005261,volatility,9,single,0,22,7
False,SKIP,SKIP,BLUE,L,False,True,0.32817006297409534,0.25,2.101160335005261,volatility,10,single,0,22,7
False,PHOTO,PHOTO,GREEN,L,False,True,0.7514039310044609,0.25,2.5179482069797814,volatility,0,negation,0,23,7
False,PHOTO,PHOTO,BLUE,L,False,True,0.2811138450051658,0.25,2.5179482069797814,volatility,1,negation,0,23,7
False,SKIP,SKIP,RED,L,False,True,0.414277036965359,0.25,2.5179482069797814,volatility,2,negation,0,23,7
False,PHOTO,PHOTO,GREEN,L,False,True,0.34675217600306496,0.25,2.5179482069797814,volatility,3,negation,0,23,7
False,PHOTO,PHOTO,GREEN,L,False,True,0.2970346520305611,0.25,2.5179482069797814,volatility,4,negation,0,23,7
False,PHOTO,PHOTO,YELLOW,L,False,True,0.31454260100144893,0.25,2.5179482069797814,volatility,5,negation,0,23,7
False,PHOTO,PHOTO,YELLOW,L,False,True,0.330875773972366,0.25,2.5179482069797814,volatility,6,negation,0,23,7
False,PHOTO,PHOTO,BLUE,L,False,True,0.3641541770193726,0.25,2.5179482069797814,volatility,7,negation,0,23,7
False,SKIP,SKIP,RED,L,False,True,0.43055142799858004,0.25,2.5179482069797814,volatility,8,negation,0,23,7
False,PHOTO,PHOTO,BLUE,L,False,True,0.297215334023349,0.25,2.5179482069797814,volatility,9,negation,0,23,7
